;title;tag;date;text;is_question;id
0;"Az ELTE Bolyai szakkollégiumába hogyan zajlik a kétnapos
felvételi?";['egyetem', 'ELTE', 'IK', 'Bolyai', 'szakkollégium', 'szakkolesz'];2016. júl. 26. 16:47;"Illetve mi az a minimum versenyeredmények/tanulmányi átlag terén, ami alatt nincs értelme megpróbálni a jelentkezést?
";True;7973530
1;"Tudtok olyan szakkolégiumot Budapesten, ahová bármelyik
egyetemről lehet jelentkezni?";['egyetem', 'Budapest', 'közösség', 'szakkollégium', 'szakmaiság'];2016. aug. 5. 20:38;;True;8000830
2;;['egyetem', 'Budapest', 'közösség', 'szakkollégium', 'szakmaiság'];2016. aug. 22. 22:48;Váci Mihály kolesz;False;8000830
3;;['egyetem', 'Budapest', 'közösség', 'szakkollégium', 'szakmaiság'];2016. szept. 7. 22:01;Na sikerült vagy mi lett végül?;False;8000830
4;;['egyetem', 'Budapest', 'közösség', 'szakkollégium', 'szakmaiság'];2016. szept. 7. 22:05;Szerintem a legtobb szakkolinal nincs megkotes, ha a felvetelin megfelelsz. Nyilvan ha az orvosira jarsz, akkor egy kozgazdasagi szakkoli erdekes valasztas. De az MCC-rol peldaul tudom, hogy sokfele egyetemrol vannak ott.;False;8000830
5;"Van reális esély, hogy felvegyenek az ELTE Bolyai
szakkollégiumába elsőévesként?";['egyetem', 'matematika', 'fizika', 'felvételi', 'ELTE', 'szakkollégium'];2020. máj. 21. 11:39;"Kb. 220%-os érettségi átlagom lesz, határontúli vagyok. Fizika alapszakra jelentkezek, romániai versenyeredményeim vannak fizikából és matekból.
";True;10495238
6;;['egyetem', 'matematika', 'fizika', 'felvételi', 'ELTE', 'szakkollégium'];2020. máj. 21. 11:46;"""Kb. 220%-os érettségi átlagom lesz""
Ez alatt mit értesz? román vagy magyar érettségi? egyáltalán hogy lehet 100 fölött kapni?


""Fizika alapszakra jelentkezek, romániai versenyeredményeim vannak fizikából és matekból."" Milyen versenyeredmények? Románia jelentősen jobb gimiben fizikából mint Mo, bár ez gondolom feltűnt :D Ha ilyen top 10-15ben voltál akkor szerintem simán felvesznek.";False;10495238
7;;['egyetem', 'matematika', 'fizika', 'felvételi', 'ELTE', 'szakkollégium'];2020. máj. 21. 11:47;A jelentkezők többsége és így nyilván a felvettek többsége is elsőéves. Viszont nem könnyű bekerülni, ahhoz tényleg elég komoly versenyeredmények kellenek.;False;10495238
8;;['egyetem', 'matematika', 'fizika', 'felvételi', 'ELTE', 'szakkollégium'];2020. máj. 21. 11:55;hát nemtom nekem elég sok ismerősöm felvették oda :D;False;10495238
9;;['egyetem', 'matematika', 'fizika', 'felvételi', 'ELTE', 'szakkollégium'];2020. máj. 21. 12:43;Lehet, hogy rosszul tudom, de egy emelt érettségi 20% plusznak minősül. Romániai érettségit teszek le matekból és fizikából, mindkettő várhatóan hibátlan vagy közel hibátlan lesz. A román mateket elfogadják Magyarországon emelt szintű érettséginek, mert elég sok benne az analízis, meg csoportelméletet is tartalmaz. Emeltezni fizikából nem akartam kimenni, mert nem gondoltam, hogy számíthat a kollégiumnál (a jelenlegi helyzetben pedig még bonyolultabb lett volna). Az első eltalálta, top 10-15-ben voltam az utóbbi két-három évben fizikából, és szerintem is erősebb a romániai mezőny (már csak azért is, mert kb. kétszer annyi diák van).;False;10495238
10;;['egyetem', 'matematika', 'fizika', 'felvételi', 'ELTE', 'szakkollégium'];2020. máj. 21. 13:43;"Szerintem ebben az esetben nem csak esélyed van, de elég jó esélyed is van. Szerintem amúgy
a legjobb hely Magyarországon (én első 5 körül voltam Magyarországon, de megszöktem Cambridgebe).
Egy emailt mindenképp küldenék a helyedben, hogy mindent kritériumnak megfelelsz-e, mert néha elég makacsok tudnak lenni a szabályokban.

Mindenesetre nagyon sok sikert kívánok, és majd írd le h felvettek-e!

Amúgy fizikának melyik része érdekel legjobban?";False;10495238
11;;['egyetem', 'matematika', 'fizika', 'felvételi', 'ELTE', 'szakkollégium'];2020. máj. 21. 13:46;Köszönöm szépen a válaszokat! Jelenleg nincs túl sok rálátásom a modern fizikára, de kvantumelméletet tanultam, jelenleg nagyon érdekel a fizikai kémia, molekulafizika.;False;10495238
12;;['egyetem', 'matematika', 'fizika', 'felvételi', 'ELTE', 'szakkollégium'];2020. jún. 23. 01:45;"Annyira senki nem makacs, hogy ne vegyenek föl, mert nincs magyarországi emelt érettségid :)
(Pláne a mostani rémtörténetek mellett a határőrökkel:  [link]  )

Nagyobb kérdés sajnos az, hogy egyáltalán megnyithatnak-e a kollégiumok rendesen ősszel... :(";False;10495238
13;"Hogyha nincsenek versenyeredményeim, publikációim, nem
voltam cserediák, és DÖK-ös se, van esélyem a pesti
Szent Ignácba?";['továbbtanulás', 'tanulás', 'Budapest', 'Pest', 'szent', 'szakkollégium', 'publikáció', 'jezsuita', 'DÖK', 'szentignác'];2019. febr. 15. 21:10;;True;9751318
14;;['továbbtanulás', 'tanulás', 'Budapest', 'Pest', 'szent', 'szakkollégium', 'publikáció', 'jezsuita', 'DÖK', 'szentignác'];febr. 22. 20:29;Sikerült bejutnod?;False;9751318
15;"Pontosan mit kell tudni a Hársfába való bejutásról
gólyaként?";['orvosi', 'kollégium', 'SOTE', 'ÁOK', 'Korányi', 'hársfa', 'szakkollégium'];2015. júl. 25. 13:05;"A honlapon ezt találtam: ""Az elsőéves jelentkezőknél előnyt élveznek azok a hallgatók, akik eredményesen szerepeltek a középiskolai tanulmányi versenyeken,  illetve kiemelkedő kulturális vagy zenei alapműveltséggel rendelkeznek."" Tehát ha soha nem OKTVztem érdemben illetve nem rendelkezek kiemelkedő ""kulturális vagy zenei alapműveltséggel"" tulajdonképpen esélyem sincs bejutni gólyaként?
";True;7059731
16;;['orvosi', 'kollégium', 'SOTE', 'ÁOK', 'Korányi', 'hársfa', 'szakkollégium'];2015. júl. 26. 08:46;Én ugyan nem vagyok kolis, de ha jól tudom arcra megy az egész. Elvisznek valami táborba és ott akik vezetik kitalálják . hogy ki szimpatikus. Bent maradáshoz meg talán 4es átlag kell .;False;7059731
17;;['orvosi', 'kollégium', 'SOTE', 'ÁOK', 'Korányi', 'hársfa', 'szakkollégium'];2015. júl. 27. 01:42;"




Először is gratulálok a sikeres felvételidhez!

Vésd az eszedbe, hogy csak akkor nincs esélyed a bejutásra, ha nem jelentkezel! Évente 40-60 felvételiző közül 10-en, 20-an kerülnek be az aktuális keretszámok függvényében. A felvettek 90%-a elsőéves. A bekerüléshez a szeptember elején esedékes háromnapos felvételi táborban kell részt venned, amelynek költsége kb. 10 000 Ft, cserébe teljes ellátást kapsz a tábor idejére. Itt a kollégistákkal találkozhatsz, akik már most alig várják, hogy megismerhessenek, ezért nagy gondossággal állítják össze a tábor programjait a nyár folyamán, hogy erre aztán minél több lehetőségük nyíljon, és Te is több oldaladat mutathasd majd meg nekik. A felvételi táborba való jelentkezéshez azt javaslom, hogy kísérd figyelemmel a harsfa.semmelweis.hu oldal frissítéseit, valamint a  [link]  Facebook-oldalt. Nagy valószínűséggel idén is önéletrajzzal, motivációs levéllel és egy rövid irányított fogalmazással jelentkezhetsz majd.

A bekerülési esélyedet leginkább egy jól átgondolt, igényesen szerkesztett pályamunkával növelheted, hiszen ezek jelentik a felvételiztető kollégisták számára az első benyomást Rólad, amelyet a táborban szerzett személyes és közvetett tapasztalataik tovább alakítanak majd. A felvételi bizottság előnyben részesíti azokat a felvételizőket, akik középiskolai éveik alatt tanulmányaikat kimagasló eredménnyel végezték, versenyekre jártak, kulturális programokon léptek fel vagy önkéntes alapon bármilyen munkát végeztek, hiszen ezek elhivatottságot tükröznek. A felvételizők sokszínűsége miatt egzakt felvételi kritériumok helyett a bizottság azt mérlegeli, hogy a felvételiző a róla szerzett többségi benyomás alapján (1) várhatóan tudja-e majd teljesíteni egyetemi tanulmányai során az előírt 4.00 tanulmányi átlagot a szakkollégiumi elfoglaltságai mellett, (2) képes volna-e beilleszkedni a szakkollégium jelenlegi közösségébe, hogy azt valamilyen értelemben gazdagítsa, (3) a közösség elfogadja-e a jelentkezőt kollégistatársként. Ezt a szakkollégiumtól idegen hallgatók gyakran úgy fogják Neked megfogalmazni, hogy ""pofára megy"". Nekik azt üzenem (kérlek add át), hogy ""egész életünkben számtalan >>pofát vágunk<<, és ez alapján ismernek minket, ez alapján ismerlek most én is Téged"".

Végezetül fontosnak érzem, hogy tudd: ha budapesti vagy vagy máshol is meg tudod oldani a lakhatásodat (pl. más kollégiumban), viszont szívesen csatlakoznál a szakkollégium közösségéhez, akkor külsős tagként is felvételt nyerhetsz. Ekkor ugyan nem a szakkollégiumban laksz majd, de a bentiekkel mindenben egyenértékű tagnak számítasz.

Ha további kérdéseid volnának, fordulj egyenesen hozzánk bizalommal! A gólyatáborra jó mulatást, aztán pedig sikeres évkezdést kívánok!";False;7059731
18;Melyik a legjobb szakkollégium a Corvinuson?;['kollégium', 'Corvinus', 'fakultáció', 'közgáz', 'közgazdász', 'társadalomtudomány', 'szakkollégium', 'MCC', 'GYDSZ'];2020. máj. 7. 16:26;"Rajk, SZISZ, Heller, EVK, TEK, Fakt stb...

Melyik a legelismertebb intézmény?
Ha különböző dolgokban erősek, le tudnátok írni, hogy melyiknek mi a specialitása, és így melyikbe kinek érdemes menni?
";True;10468461
19;;['kollégium', 'Corvinus', 'fakultáció', 'közgáz', 'közgazdász', 'társadalomtudomány', 'szakkollégium', 'MCC', 'GYDSZ'];2020. máj. 23. 20:14;Tekaz agymosàs, rajk és heller a jó;False;10468461
20;;['kollégium', 'Corvinus', 'fakultáció', 'közgáz', 'közgazdász', 'társadalomtudomány', 'szakkollégium', 'MCC', 'GYDSZ'];2020. júl. 5. 14:28;TEK-ben drogos marxisták vannak, akik utálják a fehér heteró férfiakat;False;10468461
21;Szent Ignác Jezsuita Szakkollégiumról vélemények?;['felsőoktatás', 'szakkollégium', 'MCC', 'Szent Ignác Jezsuita Szakkollégium', 'Szent Ignác Szakkollégium'];jan. 15. 10:50;"Van köztetek olyan aki ennek a szakkollégiumnak a tagja?
Mennyire nehéz bekerülni? Milyen szakon vagytok? Bármi érdekelne, ami személyes vélemény!
";True;10908121
22;;['felsőoktatás', 'szakkollégium', 'MCC', 'Szent Ignác Jezsuita Szakkollégium', 'Szent Ignác Szakkollégium'];febr. 16. 12:43;"Többkörös felvételi van, főleg a soft skilleket(problémamegoldás, szociális készségek, konfliktuskezelés) nézik, illetve az alapműveltséget. Sokan jelentkeznek, és ezért sokan ki is hullanak a jelentkezés során, de nem lehetetlen bejutni. Fontos, hogy tényleg tudd, miért akarsz oda jelentkezni.

Egyik ismerősöm BCE-nemzetközi tanulmányokon van, ő tagja ennek a szakkollégiumnak, innen ismerem a felvételijüket.";False;10908121
23;;['felsőoktatás', 'szakkollégium', 'MCC', 'Szent Ignác Jezsuita Szakkollégium', 'Szent Ignác Szakkollégium'];febr. 22. 20:06;Köszönöm a választ! Nem tudod véletlenül, hogy az első forduló után mindenki kap-e valamilyen értesítést a sikeres/sikertelen felvételről?;False;10908121
